name,version,license,Copyrights,url
aspectj.org:org.aspectj.weaver,1.7.2,EPL-1.0,,
Apache Software Foundation:Jakarta Commons Logging,1.1.1,Apache-2.0,,
Apache Software Foundation:CGlib,2.2.2,Apache-2.0,,
Apache Software Foundation:commons-pool,1.5.4,Apache-2.0,,
Apache Software Foundation:commons-dbcp,1.4,Apache-2.0,,
Apache Software Foundation:freemarker,2.3.28,Apache-2.0,,
MetaStuff Ltd:org.dom4j,1.6.1,MetaStuff Open Source License,"2001-2016 (C) MetaStuff, Ltd. and DOM4J contributors.",https://github.com/dom4j/dom4j/blob/master/LICENSE
hibernate.org:Hibernate Commons Annotations,4.0.1,"LGPL-2.1-only,",,
hibernate.org:Hibernate Core,4.1.3.Final-redhat-1,LGPL-2.1-only,,
hibernate.org:Hibernate Entity Manager,4.1.3.Final-redhat-1,LGPL-2.1-only,,
hibernate.org:org.hibernate.javax.persistence,1.0.1.Final-redhat-1,LGPL-2.1-only,,
JBoss by Red Hat:Hibernate Validator,4.2.0.Final-redhat-1,Apache-2.0,,
SpringSource:Spring AOP,3.1.1.RELEASE,Apache-2.0,,
SpringSource:Spring ASM,3.1.1.RELEASE,Apache-2.0,,
SpringSource:Spring Beans,3.1.1.RELEASE,Apache-2.0,,
SpringSource:Spring Context,3.1.1.RELEASE,Apache-2.0,,
SpringSource:Spring Context Support,3.1.1.RELEASE,Apache-2.0,,
SpringSource:Spring Core,3.1.1.RELEASE,Apache-2.0,,
SpringSource:Spring Data Commons Core,3.1.1.RELEASE,Apache-2.0,,
SpringSource:spring-data-jpa,1.2.0.RELEASE,Apache-2.0,,
SpringSource:Spring Expression Language,3.1.1.RELEASE,Apache-2.0,,
SpringSource:Spring JDBC,3.1.1.RELEASE,Apache-2.0,,
SpringSource:Spring ORM,3.1.1.RELEASE,Apache-2.0,,
SpringSource:Spring Test,3.1.1.RELEASE,Apache-2.0,,
SpringSource:Spring Transaction,3.1.1.RELEASE,Apache-2.0,,
SpringSource:Spring Web,3.1.1.RELEASE,Apache-2.0,,
CSI Piemonte:util-perf,1.0.0,Apache-2.0; MIT (Rilasciata da CSI Piemonte su richiesta),CSI Piemonte,
JUnit:junit,4.6,CPL-1.0,,
mockito,1.9.0,MIT,,
Shigeru Chiba:javassist,3.18.1-GA,Apache-2.0,,
Sun Microsystems:mail,1.4.3,CDDL-1.0,,
aspectjweaver,1.7.2,EPL-1.0,,
Source Forge:aopalliance,1.0.0,Public Domain,,
